,CIK,TokenCount,TotalProportion
10K/1000209-10-K-20210316.txt,1000209,254995.0,0.0006392282
10K/1000228-10-K-20210217.txt,1000228,248235.0,0.0010071102
10K/1000229-10-K-20210208.txt,1000229,232240.0,0.00046073028
10K/1000232-10-K-20210303.txt,1000232,201756.0,0.0009268621
10K/1000298-10-K-20210312.txt,1000298,143544.0,0.00034135874
10K/1000623-10-K-20210301.txt,1000623,234269.0,0.00025611583
10K/1000683-10-K-20210325.txt,1000683,82882.0,0.0017494751
10K/1000694-10-K-20210301.txt,1000694,3998785.0,0.00032059738
10K/1000697-10-K-20210224.txt,1000697,224239.0,0.0009142032
10K/1000753-10-K-20210212.txt,1000753,240871.0,0.0003611892
10K/1001082-10-K-20210222.txt,1001082,312683.0,0.0003421996
10K/1001171-10-K-20210331.txt,1001171,211714.0,0.00032591136
10K/100122-10-K-20210212.txt,100122,201076.0,0.00041775248
10K/1001233-10-K-20210224.txt,1001233,305439.0,0.0006318774
10K/1001316-10-K-20210301.txt,1001316,144525.0,0.0009479329
10K/1001385-10-K-20210304.txt,1001385,153042.0,0.00081676926
10K/1001601-10-K-20210415.txt,1001601,71535.0,0.0012022087
10K/1001614-10-K-20210330.txt,1001614,78961.0,0.0002659541
10K/1001838-10-K-20210226.txt,1001838,266977.0,0.0003371077
10K/1001902-10-K-20210217.txt,1001902,149755.0,0.0004273647
10K/1002135-10-K-20210521.txt,1002135,137962.0,0.00077557587
10K/1002910-10-K-20210222.txt,1002910,492219.0,0.000455082
10K/1003201-10-K-20210331.txt,1003201,164097.0,0.00035954345
10K/1003410-10-K-20210219.txt,1003410,281727.0,0.0002591161
10K/1003509-10-K-20210325.txt,1003509,7323.0,0.0
10K/1003815-10-K-20210325.txt,1003815,6595.0,0.0
10K/1004036-10-K-20210223.txt,1004036,251011.0,0.0014660712
10K/1004155-10-K-20210218.txt,1004155,665134.0,0.0005758238
10K/1004434-10-K-20210219.txt,1004434,227237.0,0.00020243182
10K/1004702-10-K-20210301.txt,1004702,278346.0,0.0004993785
10K/1004724-10-K-20210329.txt,1004724,158882.0,0.0021965988
10K/1004980-10-K-20210225.txt,1004980,427251.0,0.00042129803
10K/1004989-10-K-20210331.txt,1004989,111723.0,0.0014142119
10K/1005011-10-K-20210216.txt,1005011,208176.0,0.0005524172
