,CIK,TokenCount,TotalProportion
10K/1000045-10-K-20190628.txt,1000045,74801.0,0.0
10K/1000209-10-K-20190313.txt,1000209,241695.0,0.0
10K/1000228-10-K-20190220.txt,1000228,157866.0,0.00019003458
10K/1000229-10-K-20190211.txt,1000229,113800.0,0.0
10K/1000232-10-K-20190315.txt,1000232,127265.0,0.0
10K/1000298-10-K-20190315.txt,1000298,156731.0,6.3803586e-06
10K/1000623-10-K-20190301.txt,1000623,153889.0,1.299638e-05
10K/1000683-10-K-20190401.txt,1000683,64458.0,0.0
10K/1000694-10-K-20190318.txt,1000694,88942.0,0.0046322322
10K/1000697-10-K-20190226.txt,1000697,158985.0,6.2899016e-06
10K/1000753-10-K-20190211.txt,1000753,109360.0,9.144112e-06
10K/1001082-10-K-20190213.txt,1001082,213000.0,1.4084507e-05
10K/1001115-10-K-20191122.txt,1001115,91377.0,0.0
10K/1001171-10-K-20190329.txt,1001171,1008981.0,0.0
10K/100122-10-K-20190215.txt,100122,136108.0,7.347107e-06
10K/1001233-10-K-20190301.txt,1001233,150537.0,0.00015942924
10K/1001250-10-K-20190823.txt,1001250,216489.0,9.238344e-06
10K/1001258-10-K-20191220.txt,1001258,102096.0,1.9589406e-05
10K/1001316-10-K-20190301.txt,1001316,99683.0,3.0095402e-05
10K/1001385-10-K-20190315.txt,1001385,99034.0,0.0
10K/1001463-10-K-20190401.txt,1001463,71698.0,6.9736954e-05
10K/1001601-10-K-20190416.txt,1001601,90527.0,5.523214e-05
10K/1001614-10-K-20190328.txt,1001614,74781.0,0.0
10K/1001838-10-K-20190301.txt,1001838,189091.0,2.1153835e-05
10K/1001902-10-K-20190213.txt,1001902,104424.0,1.9152685e-05
10K/1001907-10-K-20190930.txt,1001907,66833.0,1.49626685e-05
10K/1002047-10-K-20190618.txt,1002047,165174.0,1.2108443e-05
10K/1002135-10-K-20190531.txt,1002135,85106.0,1.1750053e-05
10K/1002517-10-K-20191126.txt,1002517,271472.0,0.0
10K/1002590-10-K-20191205.txt,1002590,178833.0,0.0
10K/1002638-10-K-20190801.txt,1002638,275552.0,3.6290792e-06
10K/1002910-10-K-20190226.txt,1002910,288444.0,6.933755e-06
10K/1003078-10-K-20191024.txt,1003078,104641.0,9.556484e-06
10K/1003201-10-K-20190314.txt,1003201,133459.0,0.0
10K/1003410-10-K-20190222.txt,1003410,873639.0,8.012463e-06
10K/1003509-10-K-20190325.txt,1003509,7244.0,0.0
10K/100378-10-K-20190829.txt,100378,111848.0,1.788141e-05
10K/1003815-10-K-20190304.txt,1003815,5869.0,0.0
10K/1004036-10-K-20190221.txt,1004036,159539.0,0.0
10K/1004155-10-K-20190220.txt,1004155,611225.0,6.544235e-06
10K/1004434-10-K-20190222.txt,1004434,148387.0,0.0
10K/1004702-10-K-20190318.txt,1004702,165947.0,6.0260204e-06
10K/1004724-10-K-20190517.txt,1004724,662158.0,1.0571495e-05
10K/10048-10-K-20191223.txt,10048,132126.0,0.0
10K/100493-10-K-20191112.txt,100493,324225.0,2.77585e-05
10K/1004980-10-K-20190228.txt,1004980,231486.0,1.2959747e-05
10K/1004989-10-K-20190415.txt,1004989,135453.0,0.0
10K/1005011-10-K-20190213.txt,1005011,212745.0,0.00032903242
10K/1005101-10-K-20190930.txt,1005101,77025.0,0.0
10K/100517-10-K-20190228.txt,100517,166031.0,3.0114858e-05
10K/1005201-10-K-20190311.txt,1005201,138197.0,1.4472094e-05
10K/1005210-10-K-20191127.txt,1005210,186912.0,5.350111e-06
10K/1005229-10-K-20190529.txt,1005229,163640.0,0.0
10K/1005276-10-K-20191220.txt,1005276,103291.0,2.9044157e-05
10K/1005284-10-K-20190221.txt,1005284,120013.0,0.0
10K/1005286-10-K-20190801.txt,1005286,117885.0,0.0
10K/1005409-10-K-20190314.txt,1005409,185999.0,0.0
10K/1005731-10-K-20191011.txt,1005731,125229.0,0.0
10K/1005757-10-K-20190222.txt,1005757,128157.0,0.0
10K/1005817-10-K-20190301.txt,1005817,216247.0,0.0
10K/100591-10-K-20190410.txt,100591,390609.0,2.3040944e-05
10K/1006028-10-K-20191030.txt,1006028,68671.0,0.0006261741
10K/1006045-10-K-20190329.txt,1006045,95123.0,4.205082e-05
10K/100625-10-K-20190401.txt,100625,45164.0,0.0
10K/1006269-10-K-20190318.txt,1006269,118253.0,0.0
10K/1006281-10-K-20190318.txt,1006281,128598.0,0.0001866281
10K/1006655-10-K-20190913.txt,1006655,274003.0,3.649595e-06
10K/1006830-10-K-20190912.txt,1006830,92137.0,0.0
10K/1006837-10-K-20190312.txt,1006837,268123.0,3.7296315e-05
10K/1006840-10-K-20190919.txt,1006840,26430.0,0.0
10K/1007019-10-K-20190129.txt,1007019,107059.0,9.340644e-06
10K/100716-10-K-20190401.txt,100716,84450.0,0.0
10K/100726-10-K-20190829.txt,100726,140192.0,1.4266149e-05
10K/1007273-10-K-20190304.txt,1007273,95320.0,0.0
10K/1007330-10-K-20190318.txt,1007330,181976.0,1.099046e-05
10K/1007587-10-K-20190301.txt,1007587,334379.0,1.1962474e-05
10K/100790-10-K-20190211.txt,100790,90777.0,5.5080032e-05
10K/100826-10-K-20190226.txt,100826,288444.0,6.933755e-06
10K/1008579-10-K-20190328.txt,1008579,107362.0,0.0
10K/1008586-10-K-20190422.txt,1008586,90317.0,0.0
10K/1008653-10-K-20190927.txt,1008653,27204.0,0.0
10K/1008654-10-K-20190226.txt,1008654,166939.0,2.995106e-05
10K/1008848-10-K-20190227.txt,1008848,171217.0,5.2564872e-05
10K/100885-10-K-20190208.txt,100885,413250.0,0.0
10K/1009672-10-K-20190228.txt,1009672,78293.0,1.2772534e-05
10K/1009759-10-K-20190611.txt,1009759,109070.0,9.168424e-06
10K/1009829-10-K-20190318.txt,1009829,130461.0,7.665126e-06
10K/1009891-10-K-20190401.txt,1009891,97385.0,4.1074087e-05
10K/1010086-10-K-20190306.txt,1010086,101834.0,0.000608834
10K/1010470-10-K-20190830.txt,1010470,195391.0,1.535383e-05
10K/1010612-10-K-20190226.txt,1010612,174870.0,2.8592669e-05
10K/1011060-10-K-20190822.txt,1011060,17421.0,0.000114803974
10K/1011395-10-K-20190416.txt,1011395,72468.0,0.0
10K/1011432-10-K-20190327.txt,1011432,65319.0,0.0
10K/1011452-10-K-20190131.txt,1011452,18780.0,0.0
10K/1011509-10-K-20190228.txt,1011509,123999.0,0.00022580827
10K/1011570-10-K-20190226.txt,1011570,400643.0,0.0
10K/1011659-10-K-20190228.txt,1011659,232500.0,4.3010755e-06
10K/1011662-10-K-20190618.txt,1011662,21834.0,0.0
10K/101199-10-K-20190228.txt,101199,275010.0,3.6362314e-06
10K/1012019-10-K-20190225.txt,1012019,93364.0,0.0
10K/1012100-10-K-20190219.txt,1012100,230897.0,1.7323742e-05
10K/1012477-10-K-20190315.txt,1012477,141360.0,7.074137e-06
10K/1012493-10-K-20191015.txt,1012493,219171.0,0.0
10K/1012620-10-K-20190226.txt,1012620,203781.0,3.925783e-05
10K/1012771-10-K-20190227.txt,1012771,225557.0,4.4334693e-06
10K/101295-10-K-20190321.txt,101295,47316.0,6.34035e-05
10K/1013237-10-K-20191030.txt,1013237,368201.0,5.4318157e-06
10K/1013272-10-K-20190314.txt,1013272,193174.0,0.0
10K/1013462-10-K-20190228.txt,1013462,117087.0,1.7081316e-05
10K/1013488-10-K-20190226.txt,1013488,122301.0,0.00013900132
10K/1013606-10-K-20190401.txt,1013606,146168.0,2.7365772e-05
10K/1013706-10-K-20190320.txt,1013706,38018.0,0.0
10K/101382-10-K-20190301.txt,101382,161798.0,6.1805463e-06
10K/1013857-10-K-20190220.txt,1013857,118528.0,8.436825e-06
10K/1013871-10-K-20190228.txt,1013871,388490.0,7.722207e-06
10K/1013880-10-K-20190306.txt,1013880,156083.0,5.125478e-05
10K/1013934-10-K-20190301.txt,1013934,137388.0,1.4557312e-05
10K/1014052-10-K-20191028.txt,1014052,200426.0,0.0
10K/1014111-10-K-20190401.txt,1014111,121814.0,0.0
10K/1014473-10-K-20190215.txt,1014473,115274.0,1.7349967e-05
10K/1014739-10-K-20190315.txt,1014739,108155.0,0.00011095188
10K/1014763-10-K-20190416.txt,1014763,51228.0,0.00029280863
10K/1015155-10-K-20190906.txt,1015155,98512.0,1.0151048e-05
10K/1015328-10-K-20190228.txt,1015328,287265.0,1.3924425e-05
10K/101538-10-K-20190401.txt,101538,59424.0,0.0
10K/1015383-10-K-20190701.txt,1015383,81855.0,1.2216725e-05
10K/1015739-10-K-20190219.txt,1015739,70800.0,0.0
10K/1015780-10-K-20190220.txt,1015780,771609.0,0.0
10K/101594-10-K-20190916.txt,101594,98227.0,0.0
10K/1016125-10-K-20190301.txt,1016125,122698.0,8.150092e-06
10K/1016169-10-K-20190312.txt,1016169,105715.0,2.8378186e-05
10K/1016178-10-K-20190628.txt,1016178,154438.0,0.0
10K/1016281-10-K-20190228.txt,1016281,186892.0,0.0
10K/1016504-10-K-20190829.txt,1016504,68256.0,0.0
10K/1016708-10-K-20190412.txt,1016708,55076.0,3.6313457e-05
